,age,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,srs,wins,mp_per_game,fg_per_game,fga_per_game,2p_per_game,2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,tm_encode_ATL,tm_encode_BOS,tm_encode_BRK,tm_encode_CHA,tm_encode_CHI,tm_encode_CLE,tm_encode_DAL,tm_encode_DEN,tm_encode_DET,tm_encode_GSW,tm_encode_HOU,tm_encode_IND,tm_encode_LAC,tm_encode_LAL,tm_encode_MEM,tm_encode_MIA,tm_encode_MIL,tm_encode_MIN,tm_encode_NOP,tm_encode_NYK,tm_encode_OKC,tm_encode_ORL,tm_encode_PHI,tm_encode_PHO,tm_encode_POR,tm_encode_SAC,tm_encode_SAS,tm_encode_TOR,tm_encode_TOT,tm_encode_UTA,tm_encode_WAS,pos_encode_C,pos_encode_F,pos_encode_G,conf_encode_East,conf_encode_TOT,conf_encode_West
719,24.0,76.0,76.0,2253.0,13.2,0.591,0.004,0.335,11.5,21.4,16.7,6.5,0.5,5.3,23.1,14.8,1.1,4.5,5.6,0.11900000000000001,-1.9,4.1,2.2,2.4,276.0,478.0,0.5770000000000001,0.0,2.0,0.0,276.0,476.0,0.58,0.5770000000000001,96.0,160.0,0.6,204.0,415.0,619.0,96.0,22.0,150.0,165.0,253.0,648.0,7.44,62.0,29.644736842105264,3.6315789473684212,6.2894736842105265,3.6315789473684212,6.2631578947368425,1.263157894736842,2.1052631578947367,2.6842105263157894,5.4605263157894735,8.144736842105264,1.263157894736842,0.2894736842105263,1.9736842105263157,2.1710526315789473,3.3289473684210527,8.526315789473685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
720,31.0,43.0,9.0,515.0,10.7,0.499,0.46399999999999997,0.10400000000000001,3.1,16.6,9.9,5.2,1.6,0.3,7.3,19.3,0.0,0.6,0.6,0.057999999999999996,-2.3,-2.0,-4.3,-0.3,73.0,183.0,0.39899999999999997,33.0,85.0,0.38799999999999996,40.0,98.0,0.408,0.489,12.0,19.0,0.632,13.0,71.0,84.0,16.0,15.0,2.0,15.0,51.0,191.0,4.68,53.0,11.976744186046512,1.697674418604651,4.255813953488372,0.9302325581395349,2.2790697674418605,0.27906976744186046,0.4418604651162791,0.3023255813953488,1.6511627906976745,1.9534883720930232,0.37209302325581395,0.3488372093023256,0.046511627906976744,0.3488372093023256,1.186046511627907,4.441860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
721,23.0,49.0,22.0,559.0,8.1,0.429,0.011000000000000001,0.165,8.7,23.9,16.3,4.5,1.7,2.0,12.9,17.2,-0.6,0.8,0.2,0.018000000000000002,-6.1,-0.1,-6.3,-0.6,73.0,176.0,0.415,0.0,2.0,0.0,73.0,174.0,0.42,0.415,16.0,29.0,0.552,42.0,116.0,158.0,16.0,19.0,15.0,28.0,107.0,162.0,-0.23,42.0,11.408163265306122,1.489795918367347,3.5918367346938775,1.489795918367347,3.5510204081632653,0.32653061224489793,0.5918367346938775,0.8571428571428571,2.36734693877551,3.2244897959183674,0.32653061224489793,0.3877551020408163,0.30612244897959184,0.5714285714285714,2.183673469387755,3.306122448979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
722,31.0,81.0,81.0,3035.0,17.7,0.5820000000000001,0.257,0.46799999999999997,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.16399999999999998,1.7,0.7,2.5,3.4,540.0,1181.0,0.457,119.0,304.0,0.391,421.0,877.0,0.48,0.508,459.0,553.0,0.83,56.0,401.0,457.0,294.0,80.0,27.0,228.0,215.0,1658.0,7.44,62.0,37.46913580246913,6.666666666666667,14.580246913580247,5.197530864197531,10.82716049382716,5.666666666666667,6.827160493827161,0.691358024691358,4.950617283950617,5.6419753086419755,3.6296296296296298,0.9876543209876543,0.3333333333333333,2.814814814814815,2.654320987654321,20.469135802469136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
723,26.0,54.0,25.0,1329.0,11.6,0.5379999999999999,0.523,0.258,3.8,10.9,7.5,8.0,1.2,1.3,10.6,18.4,1.0,2.0,3.0,0.10800000000000001,-0.2,0.7,0.5,0.8,176.0,426.0,0.413,80.0,223.0,0.359,96.0,203.0,0.473,0.507,78.0,110.0,0.7090000000000001,44.0,132.0,176.0,65.0,31.0,24.0,56.0,126.0,510.0,6.48,59.0,24.61111111111111,3.259259259259259,7.888888888888889,1.7777777777777777,3.759259259259259,1.4444444444444444,2.037037037037037,0.8148148148148148,2.4444444444444446,3.259259259259259,1.2037037037037037,0.5740740740740741,0.4444444444444444,1.037037037037037,2.3333333333333335,9.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
724,32.0,75.0,0.0,2140.0,10.8,0.568,0.599,0.27899999999999997,2.2,18.3,10.2,6.0,1.5,0.8,11.8,15.0,1.7,2.6,4.2,0.095,-0.6,0.3,-0.3,0.9,216.0,524.0,0.41200000000000003,116.0,314.0,0.369,100.0,210.0,0.47600000000000003,0.523,120.0,146.0,0.8220000000000001,38.0,324.0,362.0,82.0,58.0,21.0,79.0,216.0,668.0,-8.53,17.0,28.533333333333335,2.88,6.986666666666666,1.3333333333333333,2.8,1.6,1.9466666666666668,0.5066666666666667,4.32,4.826666666666667,1.0933333333333333,0.7733333333333333,0.28,1.0533333333333332,2.88,8.906666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
725,25.0,70.0,7.0,1227.0,17.2,0.591,0.0,0.79,15.1,18.9,17.1,6.0,1.0,2.5,14.3,20.2,2.7,2.2,4.9,0.192,-0.1,0.6,0.5,0.8,177.0,338.0,0.524,0.0,0.0,0.0,177.0,338.0,0.524,0.524,184.0,267.0,0.6890000000000001,145.0,200.0,345.0,46.0,24.0,38.0,76.0,192.0,538.0,7.44,62.0,17.52857142857143,2.5285714285714285,4.828571428571428,2.5285714285714285,4.828571428571428,2.6285714285714286,3.8142857142857145,2.0714285714285716,2.857142857142857,4.928571428571429,0.6571428571428571,0.34285714285714286,0.5428571428571428,1.0857142857142856,2.742857142857143,7.685714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
726,26.0,60.0,1.0,703.0,9.9,0.479,0.0,0.209,11.6,16.7,14.1,5.6,0.7,1.9,16.3,19.5,-0.3,0.9,0.6,0.043,-4.6,-0.9,-5.5,-0.6,106.0,239.0,0.444,0.0,0.0,0.0,106.0,239.0,0.444,0.444,38.0,50.0,0.76,71.0,105.0,176.0,27.0,9.0,17.0,51.0,98.0,250.0,7.11,65.0,11.716666666666667,1.7666666666666666,3.9833333333333334,1.7666666666666666,3.9833333333333334,0.6333333333333333,0.8333333333333334,1.1833333333333333,1.75,2.933333333333333,0.45,0.15,0.2833333333333333,0.85,1.6333333333333333,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
727,25.0,52.0,17.0,738.0,8.5,0.465,0.3,0.222,1.9,9.2,5.6,21.3,2.7,0.5,21.5,17.2,-0.7,0.8,0.1,0.009000000000000001,-3.3,-0.2,-3.5,-0.3,77.0,203.0,0.379,19.0,61.0,0.311,58.0,142.0,0.408,0.426,34.0,45.0,0.7559999999999999,12.0,57.0,69.0,108.0,39.0,5.0,61.0,74.0,207.0,2.31,48.0,14.192307692307692,1.4807692307692308,3.9038461538461537,1.1153846153846154,2.730769230769231,0.6538461538461539,0.8653846153846154,0.23076923076923078,1.0961538461538463,1.3269230769230769,2.076923076923077,0.75,0.09615384615384616,1.1730769230769231,1.4230769230769231,3.980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
728,28.0,82.0,82.0,3057.0,15.0,0.516,0.138,0.23800000000000002,4.9,13.7,9.2,13.8,0.8,1.3,8.2,19.2,3.7,2.5,6.2,0.098,0.4,0.4,0.8,2.2,459.0,1020.0,0.45,56.0,141.0,0.397,403.0,879.0,0.45799999999999996,0.47700000000000004,189.0,243.0,0.778,128.0,348.0,476.0,253.0,44.0,51.0,101.0,104.0,1163.0,-0.36,39.0,37.28048780487805,5.597560975609756,12.439024390243903,4.914634146341464,10.71951219512195,2.3048780487804876,2.9634146341463414,1.5609756097560976,4.2439024390243905,5.804878048780488,3.0853658536585367,0.5365853658536586,0.6219512195121951,1.2317073170731707,1.2682926829268293,14.182926829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
