season,lg,tm,player,position
2008.0,NBA,1st,Kobe Bryant,G
2008.0,NBA,2nd,Steve Nash,G
2008.0,NBA,3rd,Manu Ginobili,G
2007.0,NBA,1st,Kobe Bryant,G
2007.0,NBA,2nd,Gilbert Arenas,G
2007.0,NBA,3rd,Chauncey Billups,G
2006.0,NBA,1st,Kobe Bryant,G
2006.0,NBA,2nd,Chauncey Billups,G
2006.0,NBA,3rd,Gilbert Arenas,G
2005.0,NBA,1st,Allen Iverson,G
2005.0,NBA,2nd,Ray Allen,G
2005.0,NBA,3rd,Gilbert Arenas,G
2004.0,NBA,1st,Kobe Bryant,G
2004.0,NBA,2nd,Sam Cassell,G
2004.0,NBA,3rd,Baron Davis,G
2003.0,NBA,1st,Kobe Bryant,G
2003.0,NBA,2nd,Allen Iverson,G
2003.0,NBA,3rd,Stephon Marbury,G
2002.0,NBA,1st,Kobe Bryant,G
2002.0,NBA,2nd,Allen Iverson,G
2002.0,NBA,3rd,Steve Nash,G
2001.0,NBA,1st,Allen Iverson,G
2001.0,NBA,2nd,Kobe Bryant,G
2001.0,NBA,3rd,Ray Allen,G
1900.0,NBA,1st,Jason Kidd,G
1900.0,NBA,2nd,Kobe Bryant,G
1900.0,NBA,3rd,Eddie Jones,G
1999.0,NBA,1st,Allen Iverson,G
1999.0,NBA,2nd,Tim Hardaway,G
1999.0,NBA,3rd,Kobe Bryant,G
1998.0,NBA,1st,Michael Jordan,G
1998.0,NBA,2nd,Tim Hardaway,G
1998.0,NBA,3rd,Reggie Miller,G
1997.0,NBA,1st,Tim Hardaway,G
1997.0,NBA,2nd,Gary Payton,G
1997.0,NBA,3rd,Anfernee Hardaway,G
1996.0,NBA,1st,Anfernee Hardaway,G
1996.0,NBA,2nd,Gary Payton,G
1996.0,NBA,3rd,Reggie Miller,G
1995.0,NBA,1st,Anfernee Hardaway,G
1995.0,NBA,2nd,Gary Payton,G
1995.0,NBA,3rd,Clyde Drexler,G
1994.0,NBA,1st,Latrell Sprewell,G
1994.0,NBA,2nd,Kevin Johnson,G
1994.0,NBA,3rd,Gary Payton,G
1993.0,NBA,1st,Michael Jordan,G
1993.0,NBA,2nd,Joe Dumars,G
1993.0,NBA,3rd,Tim Hardaway,G
1992.0,NBA,1st,Clyde Drexler,G
1992.0,NBA,2nd,Tim Hardaway,G
1992.0,NBA,3rd,Kevin Johnson,G
1991.0,NBA,1st,Magic Johnson,G
1991.0,NBA,2nd,Clyde Drexler,G
1991.0,NBA,3rd,Joe Dumars,G
1990.0,NBA,1st,Magic Johnson,G
1990.0,NBA,2nd,Kevin Johnson,G
1990.0,NBA,3rd,Clyde Drexler,G
1989.0,NBA,1st,Magic Johnson,G
1989.0,NBA,2nd,Kevin Johnson,G
1989.0,NBA,3rd,Dale Ellis,G
1988.0,NBA,1st,Magic Johnson,G
1988.0,NBA,2nd,Clyde Drexler,G
1987.0,NBA,1st,Magic Johnson,G
1987.0,NBA,2nd,Fat Lever,G
1986.0,NBA,1st,Magic Johnson,G
1986.0,NBA,2nd,Sidney Moncrief,G
1985.0,NBA,1st,Magic Johnson,G
1985.0,NBA,2nd,Michael Jordan,G
1984.0,NBA,1st,Magic Johnson,G
1984.0,NBA,2nd,Sidney Moncrief,G
1983.0,NBA,1st,Magic Johnson,G
1983.0,NBA,2nd,George Gervin,G
1982.0,NBA,1st,George Gervin,G
1982.0,NBA,2nd,Magic Johnson,G
1981.0,NBA,1st,George Gervin,G
1981.0,NBA,2nd,Tiny Archibald,G
1980.0,NBA,1st,George Gervin,G
1980.0,NBA,2nd,Dennis Johnson,G
1979.0,NBA,1st,George Gervin,G
1979.0,NBA,2nd,Phil Ford,G
1978.0,NBA,1st,George Gervin,G
1978.0,NBA,2nd,Pete Maravich,G
1977.0,NBA,1st,Pete Maravich,G
1977.0,NBA,2nd,George Gervin,G
1976.0,NBA,1st,Tiny Archibald,G
1976.0,NBA,2nd,Phil Smith,G
1976.0,ABA,1st,James Silas,G
1976.0,ABA,2nd,Don Buse,G
1975.0,NBA,1st,Tiny Archibald,G
1975.0,NBA,2nd,Phil Chenier,G
1975.0,ABA,1st,Ron Boone,G
1975.0,ABA,2nd,James Silas,G
1974.0,NBA,1st,Walt Frazier,G
1974.0,NBA,2nd,Dave Bing,G
1974.0,ABA,1st,Mack Calvin,G
1974.0,ABA,2nd,Ron Boone,G
1973.0,NBA,1st,Tiny Archibald,G
1973.0,NBA,2nd,Walt Frazier,G
1973.0,ABA,1st,Warren Jabali,G
1973.0,ABA,2nd,Mack Calvin,G
1972.0,NBA,1st,Walt Frazier,G
1972.0,NBA,2nd,Tiny Archibald,G
1972.0,ABA,1st,Donnie Freeman,G
1972.0,ABA,2nd,Charlie Scott,G
1971.0,NBA,1st,Dave Bing,G
1971.0,NBA,2nd,Walt Frazier,G
1971.0,ABA,1st,Mack Calvin,G
1971.0,ABA,2nd,Donnie Freeman,G
1970.0,NBA,1st,Walt Frazier,G
1970.0,NBA,2nd,Lou Hudson,G
1970.0,ABA,1st,Larry Jones,G
1970.0,ABA,2nd,Louie Dampier,G
1969.0,NBA,1st,Earl Monroe,G
1969.0,NBA,2nd,Hal Greer,G
1969.0,ABA,1st,Jimmy Jones,G
1969.0,ABA,2nd,Louie Dampier,G
1968.0,NBA,1st,Dave Bing,G
1968.0,NBA,2nd,Hal Greer,G
1968.0,ABA,1st,Larry Jones,G
1968.0,ABA,2nd,Larry Brown,G
1967.0,NBA,1st,Oscar Robertson,G
1967.0,NBA,2nd,Hal Greer,G
1966.0,NBA,1st,Oscar Robertson,G
1966.0,NBA,2nd,Hal Greer,G
1965.0,NBA,1st,Oscar Robertson,G
1965.0,NBA,2nd,Hal Greer,G
1964.0,NBA,1st,Oscar Robertson,G
1964.0,NBA,2nd,Hal Greer,G
1963.0,NBA,1st,Oscar Robertson,G
1963.0,NBA,2nd,Bob Cousy,G
1962.0,NBA,1st,Oscar Robertson,G
1962.0,NBA,2nd,Bob Cousy,G
1961.0,NBA,1st,Bob Cousy,G
1961.0,NBA,2nd,Larry Costello,G
1960.0,NBA,1st,Bob Cousy,G
1960.0,NBA,2nd,Richie Guerin,G
1959.0,NBA,1st,Bob Cousy,G
1959.0,NBA,2nd,Richie Guerin,G
1958.0,NBA,1st,Bob Cousy,G
1958.0,NBA,2nd,Tom Gola,G
1957.0,NBA,1st,Bob Cousy,G
1957.0,NBA,2nd,Dick Garmaker,G
1956.0,NBA,1st,Bob Cousy,G
1956.0,NBA,2nd,Jack George,G
1955.0,NBA,1st,Bob Petti,t
1955.0,NBA,2nd,Paul Seymou,r
1954.0,NBA,1st,George Mika,n
1954.0,NBA,2nd,Paul Seymou,r
1953.0,NBA,1st,George Mika,n
1953.0,NBA,2nd,Bill Sharma,n
1952.0,NBA,1st,George Mika,n
1952.0,NBA,2nd,Jim Pollar,d
1951.0,NBA,1st,Ed Macaule,y
1951.0,NBA,2nd,Vern Mikkelse,n
1950.0,NBA,1st,Jim Pollar,d
1950.0,NBA,2nd,Fred Schau,s
1949.0,BAA,1st,Jim Pollar,d
1949.0,BAA,2nd,Arnie Rise,n
1948.0,BAA,1st,Ed Sadowsk,i
1948.0,BAA,2nd,Stan Miase,k
1947.0,BAA,1st,Stan Miase,k
1947.0,BAA,2nd,John Loga,n
2018.0,NBA,1st,James Harden,G
2018.0,NBA,2nd,DeMar DeRozan,G
2018.0,NBA,3rd,Victor Oladipo,G
2017.0,NBA,1st,Russell Westbrook,G
2017.0,NBA,2nd,Isaiah Thomas,G
2017.0,NBA,3rd,DeMar DeRozan,G
2016.0,NBA,1st,Russell Westbrook,G
2016.0,NBA,2nd,Damian Lillard,G
2016.0,NBA,3rd,Kyle Lowry,G
2015.0,NBA,1st,James Harden,G
2015.0,NBA,2nd,Chris Paul,G
2015.0,NBA,3rd,Kyrie Irving,G
2014.0,NBA,1st,Chris Paul,G
2014.0,NBA,2nd,Tony Parker,G
2014.0,NBA,3rd,Damian Lillard,G
2013.0,NBA,1st,Chris Paul,G
2013.0,NBA,2nd,Russell Westbrook,G
2013.0,NBA,3rd,Dwyane Wade,G
2012.0,NBA,1st,Chris Paul,G
2012.0,NBA,2nd,Russell Westbrook,G
2012.0,NBA,3rd,Dwyane Wade,G
2011.0,NBA,1st,Derrick Rose,G
2011.0,NBA,2nd,Russell Westbrook,G
2011.0,NBA,3rd,Chris Paul,G
2010.0,NBA,1st,Dwyane Wade,G
2010.0,NBA,2nd,Deron Williams,G
2010.0,NBA,3rd,Brandon Roy,G
2009.0,NBA,1st,Dwyane Wade,G
2009.0,NBA,2nd,Brandon Roy,G
2009.0,NBA,3rd,Tony Parker,G
2008.0,NBA,1st,Chris Paul,G
2008.0,NBA,2nd,Deron Williams,G
2008.0,NBA,3rd,Tracy McGrady,G
2007.0,NBA,1st,Steve Nash,G
2007.0,NBA,2nd,Tracy McGrady,G
2007.0,NBA,3rd,Dwyane Wade,G
2006.0,NBA,1st,Steve Nash,G
2006.0,NBA,2nd,Dwyane Wade,G
2006.0,NBA,3rd,Allen Iverson,G
2005.0,NBA,1st,Steve Nash,G
2005.0,NBA,2nd,Dwyane Wade,G
2005.0,NBA,3rd,Kobe Bryant,G
2004.0,NBA,1st,Jason Kidd,G
2004.0,NBA,2nd,Tracy McGrady,G
2004.0,NBA,3rd,Michael Redd,G
2003.0,NBA,1st,Tracy McGrady,G
2003.0,NBA,2nd,Jason Kidd,G
2003.0,NBA,3rd,Steve Nash,G
2002.0,NBA,1st,Jason Kidd,G
2002.0,NBA,2nd,Gary Payton,G
2002.0,NBA,3rd,Paul Pierce,G
2001.0,NBA,1st,Jason Kidd,G
2001.0,NBA,2nd,Tracy McGrady,G
2001.0,NBA,3rd,Gary Payton,G
1900.0,NBA,1st,Gary Payton,G
1900.0,NBA,2nd,Allen Iverson,G
1900.0,NBA,3rd,Stephon Marbury,G
1999.0,NBA,1st,Jason Kidd,G
1999.0,NBA,2nd,Gary Payton,G
1999.0,NBA,3rd,John Stockton,G
1998.0,NBA,1st,Gary Payton,G
1998.0,NBA,2nd,Rod Strickland,G
1998.0,NBA,3rd,Mitch Richmond,G
1997.0,NBA,1st,Michael Jordan,G
1997.0,NBA,2nd,Mitch Richmond,G
1997.0,NBA,3rd,John Stockton,G
1996.0,NBA,1st,Michael Jordan,G
1996.0,NBA,2nd,John Stockton,G
1996.0,NBA,3rd,Mitch Richmond,G
1995.0,NBA,1st,John Stockton,G
1995.0,NBA,2nd,Mitch Richmond,G
1995.0,NBA,3rd,Reggie Miller,G
1994.0,NBA,1st,John Stockton,G
1994.0,NBA,2nd,Mitch Richmond,G
1994.0,NBA,3rd,Mark Price,G
1993.0,NBA,1st,Mark Price,G
1993.0,NBA,2nd,John Stockton,G
1993.0,NBA,3rd,Drazen Petrovic,G
1992.0,NBA,1st,Michael Jordan,G
1992.0,NBA,2nd,John Stockton,G
1992.0,NBA,3rd,Mark Price,G
1991.0,NBA,1st,Michael Jordan,G
1991.0,NBA,2nd,Kevin Johnson,G
1991.0,NBA,3rd,John Stockton,G
1990.0,NBA,1st,Michael Jordan,G
1990.0,NBA,2nd,John Stockton,G
1990.0,NBA,3rd,Joe Dumars,G
1989.0,NBA,1st,Michael Jordan,G
1989.0,NBA,2nd,John Stockton,G
1989.0,NBA,3rd,Mark Price,G
1988.0,NBA,1st,Michael Jordan,G
1988.0,NBA,2nd,John Stockton,G
1987.0,NBA,1st,Michael Jordan,G
1987.0,NBA,2nd,Isiah Thomas,G
1986.0,NBA,1st,Isiah Thomas,G
1986.0,NBA,2nd,Alvin Robertson,G
1985.0,NBA,1st,Isiah Thomas,G
1985.0,NBA,2nd,Sidney Moncrief,G
1984.0,NBA,1st,Isiah Thomas,G
1984.0,NBA,2nd,Jim Paxson,G
1983.0,NBA,1st,Sidney Moncrief,G
1983.0,NBA,2nd,Isiah Thomas,G
1982.0,NBA,1st,Gus Williams,G
1982.0,NBA,2nd,Sidney Moncrief,G
1981.0,NBA,1st,Dennis Johnson,G
1981.0,NBA,2nd,Otis Birdsong,G
1980.0,NBA,1st,Paul Westphal,G
1980.0,NBA,2nd,Gus Williams,G
1979.0,NBA,1st,Paul Westphal,G
1979.0,NBA,2nd,World B. Free,G
1978.0,NBA,1st,David Thompson,G
1978.0,NBA,2nd,Paul Westphal,G
1977.0,NBA,1st,Paul Westphal,G
1977.0,NBA,2nd,Jo Jo White,G
1976.0,NBA,1st,Pete Maravich,G
1976.0,NBA,2nd,Randy Smith,G
1976.0,ABA,1st,Ralph Simpson,G
1976.0,ABA,2nd,George Gervin,G
1975.0,NBA,1st,Walt Frazier,G
1975.0,NBA,2nd,Jo Jo White,G
1975.0,ABA,1st,Mack Calvin,G
1975.0,ABA,2nd,Brian Taylor,G
1974.0,NBA,1st,Gail Goodrich,G
1974.0,NBA,2nd,Norm Van Lier,G
1974.0,ABA,1st,Jimmy Jones,G
1974.0,ABA,2nd,Louie Dampier,G
1973.0,NBA,1st,Jerry West,G
1973.0,NBA,2nd,Pete Maravich,G
1973.0,ABA,1st,Jimmy Jones,G
1973.0,ABA,2nd,Ralph Simpson,G
1972.0,NBA,1st,Jerry West,G
1972.0,NBA,2nd,Archie Clark,G
1972.0,ABA,1st,Bill Melchionni,G
1972.0,ABA,2nd,Ralph Simpson,G
1971.0,NBA,1st,Jerry West,G
1971.0,NBA,2nd,Oscar Robertson,G
1971.0,ABA,1st,Charlie Scott,G
1971.0,ABA,2nd,Zelmo Beaty C Dan Issel C (T,)
1970.0,NBA,1st,Jerry West,G
1970.0,NBA,2nd,Oscar Robertson,G
1970.0,ABA,1st,Bob Verga,G
1970.0,ABA,2nd,Donnie Freeman,G
1969.0,NBA,1st,Oscar Robertson,G
1969.0,NBA,2nd,Jerry West,G
1969.0,ABA,1st,Larry Jones,G
1969.0,ABA,2nd,Donnie Freeman,G
1968.0,NBA,1st,Oscar Robertson,G
1968.0,NBA,2nd,Jerry West,G
1968.0,ABA,1st,Charles Williams,G
1968.0,ABA,2nd,Louie Dampier,G
1967.0,NBA,1st,Jerry West,G
1967.0,NBA,2nd,Sam Jones,G
1966.0,NBA,1st,Jerry West,G
1966.0,NBA,2nd,Sam Jones,G
1965.0,NBA,1st,Jerry West,G
1965.0,NBA,2nd,Sam Jones,G
1964.0,NBA,1st,Jerry West,G
1964.0,NBA,2nd,John Havlicek,G
1963.0,NBA,1st,Jerry West,G
1963.0,NBA,2nd,Hal Greer,G
1962.0,NBA,1st,Jerry West,G
1962.0,NBA,2nd,Richie Guerin,G
1961.0,NBA,1st,Oscar Robertson,G
1961.0,NBA,2nd,Gene Shue,G
1960.0,NBA,1st,Gene Shue,G
1960.0,NBA,2nd,Bill Sharman,G
1959.0,NBA,1st,Bill Sharman,G
1959.0,NBA,2nd,Slater Martin,G
1958.0,NBA,1st,Bill Sharman,G
1958.0,NBA,2nd,Slater Martin,G
1957.0,NBA,1st,Bill Sharman,G
1957.0,NBA,2nd,Slater Martin,G
1956.0,NBA,1st,Bill Sharman,G
1956.0,NBA,2nd,Slater Martin,G
1955.0,NBA,1st,Dolph Schaye,s
1955.0,NBA,2nd,Bill Sharma,n
1954.0,NBA,1st,Dolph Schaye,s
1954.0,NBA,2nd,Bobby Wanze,r
1953.0,NBA,1st,Dolph Schaye,s
1953.0,NBA,2nd,Bobby Wanze,r
1952.0,NBA,1st,Bob Davies  Dolph Schayes (T,)
1952.0,NBA,2nd,Bobby Wanze,r
1951.0,NBA,1st,George Mika,n
1951.0,NBA,2nd,Dolph Schaye,s
1950.0,NBA,1st,Max Zaslofsk,y
1950.0,NBA,2nd,Dolph Schaye,s
1949.0,BAA,1st,Max Zaslofsk,y
1949.0,BAA,2nd,Kenny Sailor,s
1948.0,BAA,1st,Max Zaslofsk,y
1948.0,BAA,2nd,Fred Scolar,i
1947.0,BAA,1st,Max Zaslofsk,y
1947.0,BAA,2nd,Fred Scolar,i
