conference,losses,name,rank,srs,wins,year
East,56,Philadelphia 76ers,13,-5.25,26,1993
East,60,Washington Bullets,14,-6.49,22,1993
East,25,Chicago Bulls,2,6.19,57,1993
East,28,Cleveland Cavaliers,3,6.3,54,1993
East,38,Charlotte Hornets,5,-0.02,44,1993
East,39,Atlanta Hawks,7,-0.67,43,1993
East,41,Indiana Pacers,8,1.77,41,1993
East,42,Detroit Pistons,10,-1.1,40,1993
East,54,Milwaukee Bucks,12,-3.26,28,1993
West,27,Houston Rockets,2,3.57,55,1993
West,33,San Antonio Spurs,5,2.21,49,1993
West,35,Utah Jazz,6,1.74,47,1993
West,46,Denver Nuggets,9,-2.14,36,1993
West,63,Minnesota Timberwolves,12,-7.62,19,1993
West,71,Dallas Mavericks,13,-14.68,11,1993
West,20,Phoenix Suns,1,6.27,62,1993
West,27,Seattle SuperSonics,3,6.66,55,1993
West,31,Portland Trail Blazers,4,2.92,51,1993
West,41,Los Angeles Clippers,7,0.33,41,1993
West,43,Los Angeles Lakers,8,-1.2,39,1993
West,48,Golden State Warriors,10,-0.94,34,1993
West,57,Sacramento Kings,11,-3.0,25,1993
East,25,New York Knicks,2,6.48,57,1994
East,32,Orlando Magic,4,3.68,50,1994
East,37,New Jersey Nets,7,2.11,45,1994
East,40,Miami Heat,8,2.4,42,1994
East,50,Boston Celtics,10,-4.28,32,1994
East,57,Philadelphia 76ers,11,-7.37,25,1994
East,58,Washington Bullets,12,-7.13,24,1994
East,25,Atlanta Hawks,1,4.94,57,1994
East,27,Chicago Bulls,3,2.87,55,1994
East,35,Indiana Pacers,5,3.26,47,1994
East,35,Cleveland Cavaliers,6,3.64,47,1994
East,41,Charlotte Hornets,9,-0.23,41,1994
East,62,Milwaukee Bucks,13,-6.24,20,1994
East,62,Detroit Pistons,14,-7.46,20,1994
West,24,Houston Rockets,2,4.19,58,1994
West,27,San Antonio Spurs,4,5.05,55,1994
West,29,Utah Jazz,5,4.1,53,1994
West,40,Denver Nuggets,8,1.54,42,1994
West,62,Minnesota Timberwolves,12,-6.55,20,1994
West,69,Dallas Mavericks,13,-8.19,13,1994
West,19,Seattle SuperSonics,1,8.68,63,1994
West,26,Phoenix Suns,3,4.68,56,1994
West,32,Golden State Warriors,6,1.76,50,1994
West,35,Portland Trail Blazers,7,2.6,47,1994
West,49,Los Angeles Lakers,9,-3.93,33,1994
West,54,Sacramento Kings,10,-5.32,28,1994
West,55,Los Angeles Clippers,11,-5.28,27,1994
East,25,Orlando Magic,1,6.44,57,1995
East,27,New York Knicks,3,2.78,55,1995
East,47,Boston Celtics,8,-1.92,35,1995
East,50,Miami Heat,10,-1.85,32,1995
East,52,New Jersey Nets,11,-3.28,30,1995
East,58,Philadelphia 76ers,13,-5.06,24,1995
East,61,Washington Bullets,14,-5.56,21,1995
East,30,Indiana Pacers,2,3.35,52,1995
East,32,Charlotte Hornets,4,2.87,50,1995
East,35,Chicago Bulls,5,4.32,47,1995
East,39,Cleveland Cavaliers,6,0.55,43,1995
East,40,Atlanta Hawks,7,1.06,42,1995
