name,starter,reserve,year,year-player
joe dumars,0.0,1.0,1993.0,1993.0joe dumars
detlef schrempf,0.0,1.0,1993.0,1993.0detlef schrempf
larry nance,0.0,1.0,1993.0,1993.0larry nance
karl malone,1.0,0.0,1993.0,1993.0karl malone
charles barkley,1.0,0.0,1993.0,1993.0charles barkley
john stockton,1.0,0.0,1993.0,1993.0john stockton
david robinson,1.0,0.0,1993.0,1993.0david robinson
clyde drexler,1.0,0.0,1993.0,1993.0clyde drexler
dan majerle,0.0,1.0,1993.0,1993.0dan majerle
tim hardaway,0.0,1.0,1993.0,1993.0tim hardaway
hakeem olajuwon,0.0,1.0,1993.0,1993.0hakeem olajuwon
terry porter,0.0,1.0,1993.0,1993.0terry porter
danny manning,0.0,1.0,1993.0,1993.0danny manning
sean elliott,0.0,1.0,1993.0,1993.0sean elliott
shawn kemp,0.0,1.0,1993.0,1993.0shawn kemp
scottie pippen,1.0,0.0,1994.0,1994.0scottie pippen
shaquille o'neal,1.0,0.0,1994.0,1994.0shaquille o'neal
b.j. armstrong,1.0,0.0,1994.0,1994.0b.j. armstrong
derrick coleman,1.0,0.0,1994.0,1994.0derrick coleman
kenny anderson,1.0,0.0,1994.0,1994.0kenny anderson
patrick ewing,0.0,1.0,1994.0,1994.0patrick ewing
mark price,0.0,1.0,1994.0,1994.0mark price
john starks,0.0,1.0,1994.0,1994.0john starks
dominique wilkins,0.0,1.0,1994.0,1994.0dominique wilkins
horace grant,0.0,1.0,1994.0,1994.0horace grant
mookie blaylock,0.0,1.0,1994.0,1994.0mookie blaylock
charles oakley,0.0,1.0,1994.0,1994.0charles oakley
hakeem olajuwon,1.0,0.0,1994.0,1994.0hakeem olajuwon
mitch richmond,1.0,0.0,1994.0,1994.0mitch richmond
shawn kemp,1.0,0.0,1994.0,1994.0shawn kemp
karl malone,1.0,0.0,1994.0,1994.0karl malone
clyde drexler,1.0,0.0,1994.0,1994.0clyde drexler
john stockton,0.0,1.0,1994.0,1994.0john stockton
david robinson,0.0,1.0,1994.0,1994.0david robinson
clifford robinson,0.0,1.0,1994.0,1994.0clifford robinson
danny manning,0.0,1.0,1994.0,1994.0danny manning
gary payton,0.0,1.0,1994.0,1994.0gary payton
latrell sprewell,0.0,1.0,1994.0,1994.0latrell sprewell
kevin johnson,0.0,1.0,1994.0,1994.0kevin johnson
anfernee hardaway,1.0,0.0,1995.0,1995.0anfernee hardaway
scottie pippen,1.0,0.0,1995.0,1995.0scottie pippen
shaquille o'neal,1.0,0.0,1995.0,1995.0shaquille o'neal
reggie miller,1.0,0.0,1995.0,1995.0reggie miller
grant hill,1.0,0.0,1995.0,1995.0grant hill
patrick ewing,0.0,1.0,1995.0,1995.0patrick ewing
joe dumars,0.0,1.0,1995.0,1995.0joe dumars
larry johnson,0.0,1.0,1995.0,1995.0larry johnson
alonzo mourning,0.0,1.0,1995.0,1995.0alonzo mourning
dana barros,0.0,1.0,1995.0,1995.0dana barros
vin baker,0.0,1.0,1995.0,1995.0vin baker
tyrone hill,0.0,1.0,1995.0,1995.0tyrone hill
hakeem olajuwon,1.0,0.0,1995.0,1995.0hakeem olajuwon
charles barkley,1.0,0.0,1995.0,1995.0charles barkley
shawn kemp,1.0,0.0,1995.0,1995.0shawn kemp
latrell sprewell,1.0,0.0,1995.0,1995.0latrell sprewell
dan majerle,1.0,0.0,1995.0,1995.0dan majerle
gary payton,0.0,1.0,1995.0,1995.0gary payton
mitch richmond,0.0,1.0,1995.0,1995.0mitch richmond
dikembe mutombo,0.0,1.0,1995.0,1995.0dikembe mutombo
detlef schrempf,0.0,1.0,1995.0,1995.0detlef schrempf
karl malone,0.0,1.0,1995.0,1995.0karl malone
david robinson,0.0,1.0,1995.0,1995.0david robinson
john stockton,0.0,1.0,1995.0,1995.0john stockton
anfernee hardaway,1.0,0.0,1996.0,1996.0anfernee hardaway
shaquille o'neal,1.0,0.0,1996.0,1996.0shaquille o'neal
grant hill,1.0,0.0,1996.0,1996.0grant hill
scottie pippen,1.0,0.0,1996.0,1996.0scottie pippen
michael jordan,1.0,0.0,1996.0,1996.0michael jordan
terrell brandon,0.0,1.0,1996.0,1996.0terrell brandon
reggie miller,0.0,1.0,1996.0,1996.0reggie miller
juwan howard,0.0,1.0,1996.0,1996.0juwan howard
glen rice,0.0,1.0,1996.0,1996.0glen rice
vin baker,0.0,1.0,1996.0,1996.0vin baker
alonzo mourning,0.0,1.0,1996.0,1996.0alonzo mourning
patrick ewing,0.0,1.0,1996.0,1996.0patrick ewing
shawn kemp,1.0,0.0,1996.0,1996.0shawn kemp
jason kidd,1.0,0.0,1996.0,1996.0jason kidd
clyde drexler,1.0,0.0,1996.0,1996.0clyde drexler
charles barkley,1.0,0.0,1996.0,1996.0charles barkley
hakeem olajuwon,1.0,0.0,1996.0,1996.0hakeem olajuwon
gary payton,0.0,1.0,1996.0,1996.0gary payton
mitch richmond,0.0,1.0,1996.0,1996.0mitch richmond
david robinson,0.0,1.0,1996.0,1996.0david robinson
sean elliott,0.0,1.0,1996.0,1996.0sean elliott
karl malone,0.0,1.0,1996.0,1996.0karl malone
john stockton,0.0,1.0,1996.0,1996.0john stockton
dikembe mutombo,0.0,1.0,1996.0,1996.0dikembe mutombo
michael jordan,1.0,0.0,1997.0,1997.0michael jordan
scottie pippen,1.0,0.0,1997.0,1997.0scottie pippen
anfernee hardaway,1.0,0.0,1997.0,1997.0anfernee hardaway
grant hill,1.0,0.0,1997.0,1997.0grant hill
dikembe mutombo,1.0,0.0,1997.0,1997.0dikembe mutombo
glen rice,0.0,1.0,1997.0,1997.0glen rice
vin baker,0.0,1.0,1997.0,1997.0vin baker
christian laettner,0.0,1.0,1997.0,1997.0christian laettner
terrell brandon,0.0,1.0,1997.0,1997.0terrell brandon
tim hardaway,0.0,1.0,1997.0,1997.0tim hardaway
chris webber,0.0,1.0,1997.0,1997.0chris webber
joe dumars,0.0,1.0,1997.0,1997.0joe dumars
gary payton,1.0,0.0,1997.0,1997.0gary payton
john stockton,1.0,0.0,1997.0,1997.0john stockton
hakeem olajuwon,1.0,0.0,1997.0,1997.0hakeem olajuwon
karl malone,1.0,0.0,1997.0,1997.0karl malone
shawn kemp,1.0,0.0,1997.0,1997.0shawn kemp
latrell sprewell,0.0,1.0,1997.0,1997.0latrell sprewell
mitch richmond,0.0,1.0,1997.0,1997.0mitch richmond
detlef schrempf,0.0,1.0,1997.0,1997.0detlef schrempf
tom gugliotta,0.0,1.0,1997.0,1997.0tom gugliotta
kevin garnett,0.0,1.0,1997.0,1997.0kevin garnett
eddie jones,0.0,1.0,1997.0,1997.0eddie jones
chris gatling,0.0,1.0,1997.0,1997.0chris gatling
michael jordan,1.0,0.0,1998.0,1998.0michael jordan
grant hill,1.0,0.0,1998.0,1998.0grant hill
shawn kemp,1.0,0.0,1998.0,1998.0shawn kemp
dikembe mutombo,1.0,0.0,1998.0,1998.0dikembe mutombo
anfernee hardaway,1.0,0.0,1998.0,1998.0anfernee hardaway
rik smits,0.0,1.0,1998.0,1998.0rik smits
reggie miller,0.0,1.0,1998.0,1998.0reggie miller
jayson williams,0.0,1.0,1998.0,1998.0jayson williams
tim hardaway,0.0,1.0,1998.0,1998.0tim hardaway
glen rice,0.0,1.0,1998.0,1998.0glen rice
steve smith,0.0,1.0,1998.0,1998.0steve smith
antoine walker,0.0,1.0,1998.0,1998.0antoine walker
gary payton,1.0,0.0,1998.0,1998.0gary payton
kobe bryant,1.0,0.0,1998.0,1998.0kobe bryant
kevin garnett,1.0,0.0,1998.0,1998.0kevin garnett
shaquille o'neal,1.0,0.0,1998.0,1998.0shaquille o'neal
karl malone,1.0,0.0,1998.0,1998.0karl malone
eddie jones,0.0,1.0,1998.0,1998.0eddie jones
david robinson,0.0,1.0,1998.0,1998.0david robinson
vin baker,0.0,1.0,1998.0,1998.0vin baker
nick van exel,0.0,1.0,1998.0,1998.0nick van exel
jason kidd,0.0,1.0,1998.0,1998.0jason kidd
mitch richmond,0.0,1.0,1998.0,1998.0mitch richmond
tim duncan,0.0,1.0,1998.0,1998.0tim duncan
allen iverson,1.0,0.0,2000.0,2000.0allen iverson
vince carter,1.0,0.0,2000.0,2000.0vince carter
alonzo mourning,1.0,0.0,2000.0,2000.0alonzo mourning
eddie jones,1.0,0.0,2000.0,2000.0eddie jones
grant hill,1.0,0.0,2000.0,2000.0grant hill
reggie miller,0.0,1.0,2000.0,2000.0reggie miller
allan houston,0.0,1.0,2000.0,2000.0allan houston
ray allen,0.0,1.0,2000.0,2000.0ray allen
glenn robinson,0.0,1.0,2000.0,2000.0glenn robinson
dikembe mutombo,0.0,1.0,2000.0,2000.0dikembe mutombo
jerry stackhouse,0.0,1.0,2000.0,2000.0jerry stackhouse
dale davis,0.0,1.0,2000.0,2000.0dale davis
kevin garnett,1.0,0.0,2000.0,2000.0kevin garnett
jason kidd,1.0,0.0,2000.0,2000.0jason kidd
tim duncan,1.0,0.0,2000.0,2000.0tim duncan
kobe bryant,1.0,0.0,2000.0,2000.0kobe bryant
shaquille o'neal,1.0,0.0,2000.0,2000.0shaquille o'neal
rasheed wallace,0.0,1.0,2000.0,2000.0rasheed wallace
gary payton,0.0,1.0,2000.0,2000.0gary payton
chris webber,0.0,1.0,2000.0,2000.0chris webber
john stockton,0.0,1.0,2000.0,2000.0john stockton
michael finley,0.0,1.0,2000.0,2000.0michael finley
david robinson,0.0,1.0,2000.0,2000.0david robinson
karl malone,0.0,1.0,2000.0,2000.0karl malone
allen iverson,1.0,0.0,2001.0,2001.0allen iverson
vince carter,1.0,0.0,2001.0,2001.0vince carter
tracy mcgrady,1.0,0.0,2001.0,2001.0tracy mcgrady
antonio davis,1.0,0.0,2001.0,2001.0antonio davis
anthony mason,1.0,0.0,2001.0,2001.0anthony mason
dikembe mutombo,0.0,1.0,2001.0,2001.0dikembe mutombo
ray allen,0.0,1.0,2001.0,2001.0ray allen
stephon marbury,0.0,1.0,2001.0,2001.0stephon marbury
glenn robinson,0.0,1.0,2001.0,2001.0glenn robinson
latrell sprewell,0.0,1.0,2001.0,2001.0latrell sprewell
jerry stackhouse,0.0,1.0,2001.0,2001.0jerry stackhouse
allan houston,0.0,1.0,2001.0,2001.0allan houston
kobe bryant,1.0,0.0,2001.0,2001.0kobe bryant
jason kidd,1.0,0.0,2001.0,2001.0jason kidd
chris webber,1.0,0.0,2001.0,2001.0chris webber
tim duncan,1.0,0.0,2001.0,2001.0tim duncan
kevin garnett,1.0,0.0,2001.0,2001.0kevin garnett
rasheed wallace,0.0,1.0,2001.0,2001.0rasheed wallace
michael finley,0.0,1.0,2001.0,2001.0michael finley
gary payton,0.0,1.0,2001.0,2001.0gary payton
antonio mcdyess,0.0,1.0,2001.0,2001.0antonio mcdyess
david robinson,0.0,1.0,2001.0,2001.0david robinson
vlade divac,0.0,1.0,2001.0,2001.0vlade divac
karl malone,0.0,1.0,2001.0,2001.0karl malone
allen iverson,1.0,0.0,2002.0,2002.0allen iverson
michael jordan,1.0,0.0,2002.0,2002.0michael jordan
dikembe mutombo,1.0,0.0,2002.0,2002.0dikembe mutombo
jason kidd,1.0,0.0,2002.0,2002.0jason kidd
antoine walker,1.0,0.0,2002.0,2002.0antoine walker
ray allen,0.0,1.0,2002.0,2002.0ray allen
tracy mcgrady,0.0,1.0,2002.0,2002.0tracy mcgrady
paul pierce,0.0,1.0,2002.0,2002.0paul pierce
shareef abdur-rahim,0.0,1.0,2002.0,2002.0shareef abdur-rahim
jermaine o'neal,0.0,1.0,2002.0,2002.0jermaine o'neal
alonzo mourning,0.0,1.0,2002.0,2002.0alonzo mourning
baron davis,0.0,1.0,2002.0,2002.0baron davis
kobe bryant,1.0,0.0,2002.0,2002.0kobe bryant
tim duncan,1.0,0.0,2002.0,2002.0tim duncan
kevin garnett,1.0,0.0,2002.0,2002.0kevin garnett
chris webber,1.0,0.0,2002.0,2002.0chris webber
steve francis,1.0,0.0,2002.0,2002.0steve francis
dirk nowitzki,0.0,1.0,2002.0,2002.0dirk nowitzki
steve nash,0.0,1.0,2002.0,2002.0steve nash
gary payton,0.0,1.0,2002.0,2002.0gary payton
elton brand,0.0,1.0,2002.0,2002.0elton brand
peja stojakovic,0.0,1.0,2002.0,2002.0peja stojakovic
wally szczerbiak,0.0,1.0,2002.0,2002.0wally szczerbiak
allen iverson,1.0,0.0,2003.0,2003.0allen iverson
tracy mcgrady,1.0,0.0,2003.0,2003.0tracy mcgrady
michael jordan,1.0,0.0,2003.0,2003.0michael jordan
jermaine o'neal,1.0,0.0,2003.0,2003.0jermaine o'neal
ben wallace,1.0,0.0,2003.0,2003.0ben wallace
jason kidd,0.0,1.0,2003.0,2003.0jason kidd
vince carter,0.0,1.0,2003.0,2003.0vince carter
paul pierce,0.0,1.0,2003.0,2003.0paul pierce
brad miller,0.0,1.0,2003.0,2003.0brad miller
jamal mashburn,0.0,1.0,2003.0,2003.0jamal mashburn
antoine walker,0.0,1.0,2003.0,2003.0antoine walker
zydrunas ilgauskas,0.0,1.0,2003.0,2003.0zydrunas ilgauskas
