year,player,listed_pos,age,tm_name,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,year-player,award_tm,award_pos,starter,reserve,all_star
1989.0,michael jordan,SG,25.0,CHI,81.0,81.0,3255.0,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,14.6,5.2,19.8,0.292,9.8,2.7,12.6,12.0,966.0,1795.0,0.5379999999999999,27.0,98.0,0.276,939.0,1697.0,0.5529999999999999,0.546,674.0,793.0,0.85,149.0,503.0,652.0,650.0,234.0,65.0,290.0,247.0,2633.0,1989.0michael jordan,1,G,1.0,0.0,1.0
1989.0,karl malone,PF,25.0,UTA,80.0,80.0,3126.0,24.4,0.5920000000000001,0.01,0.589,10.0,19.6,15.1,12.8,2.3,1.3,12.7,30.4,8.6,6.6,15.2,0.233,4.2,1.9,6.1,6.5,809.0,1559.0,0.519,5.0,16.0,0.313,804.0,1543.0,0.521,0.521,703.0,918.0,0.7659999999999999,259.0,594.0,853.0,219.0,144.0,70.0,285.0,286.0,2326.0,1989.0karl malone,1,F,1.0,0.0,1.0
1989.0,moses malone,C,33.0,ATL,81.0,80.0,2878.0,21.2,0.581,0.011,0.649,14.4,21.9,18.1,5.8,1.3,2.1,14.8,23.4,6.8,3.9,10.7,0.17800000000000002,2.0,0.0,2.1,3.0,538.0,1096.0,0.491,0.0,12.0,0.0,538.0,1084.0,0.496,0.491,561.0,711.0,0.789,386.0,570.0,956.0,112.0,79.0,100.0,245.0,154.0,1637.0,1989.0moses malone,0,C,1.0,0.0,1.0
1989.0,kevin mchale,PF,31.0,BOS,78.0,74.0,2876.0,20.3,0.608,0.003,0.44,9.0,16.3,12.7,9.1,0.4,2.0,11.9,23.7,8.1,1.9,10.1,0.168,3.1,-0.9,2.1,3.0,661.0,1211.0,0.546,0.0,4.0,0.0,661.0,1207.0,0.5479999999999999,0.546,436.0,533.0,0.818,223.0,414.0,637.0,172.0,26.0,97.0,196.0,223.0,1758.0,1989.0kevin mchale,0,PF,0.0,1.0,1.0
1989.0,chris mullin,SF,25.0,GSW,82.0,82.0,3093.0,21.9,0.581,0.061,0.339,4.9,10.7,7.8,20.1,2.5,0.7,13.6,26.6,7.5,3.1,10.6,0.165,4.0,-0.2,3.7,4.4,830.0,1630.0,0.509,23.0,100.0,0.23,807.0,1530.0,0.527,0.516,493.0,553.0,0.892,152.0,331.0,483.0,415.0,176.0,39.0,296.0,178.0,2176.0,1989.0chris mullin,2,F,0.0,1.0,1.0
1989.0,larry nance,PF,29.0,CLE,73.0,72.0,2526.0,19.9,0.59,0.004,0.363,7.4,18.0,13.0,9.2,1.1,4.7,9.9,19.9,5.7,4.7,10.3,0.197,1.1,2.9,4.0,3.8,496.0,920.0,0.539,0.0,4.0,0.0,496.0,916.0,0.541,0.539,267.0,334.0,0.799,156.0,425.0,581.0,159.0,57.0,206.0,117.0,186.0,1259.0,1989.0larry nance,0,PF,0.0,1.0,1.0
1989.0,hakeem olajuwon,C,26.0,HOU,82.0,82.0,3024.0,25.2,0.552,0.006,0.419,12.2,27.2,19.8,8.2,3.3,5.5,13.0,28.2,4.6,7.8,12.4,0.197,1.3,4.1,5.4,5.6,790.0,1556.0,0.508,0.0,10.0,0.0,790.0,1546.0,0.511,0.508,454.0,652.0,0.696,338.0,767.0,1105.0,149.0,213.0,282.0,275.0,329.0,2034.0,1989.0hakeem olajuwon,1,C,1.0,0.0,1.0
1989.0,mark price,PG,24.0,CLE,75.0,74.0,2728.0,20.6,0.623,0.21,0.29,2.1,7.0,4.7,33.8,2.1,0.1,15.7,21.0,8.0,3.3,11.3,0.199,4.6,-1.1,3.5,3.8,529.0,1006.0,0.526,93.0,211.0,0.441,436.0,795.0,0.5479999999999999,0.5720000000000001,263.0,292.0,0.901,48.0,178.0,226.0,631.0,115.0,7.0,212.0,98.0,1414.0,1989.0mark price,3,G,0.0,1.0,1.0
1989.0,john stockton,PG,26.0,UTA,82.0,82.0,3171.0,22.9,0.624,0.07200000000000001,0.49,3.1,5.4,4.3,54.3,4.1,0.3,21.5,19.1,9.8,5.8,15.6,0.236,5.0,-0.2,4.8,5.5,497.0,923.0,0.5379999999999999,16.0,66.0,0.242,481.0,857.0,0.561,0.547,390.0,452.0,0.863,83.0,165.0,248.0,1118.0,263.0,14.0,308.0,241.0,1400.0,1989.0john stockton,2,G,1.0,0.0,1.0
1989.0,isiah thomas,PG,27.0,DET,80.0,76.0,2924.0,17.1,0.528,0.099,0.28600000000000003,2.0,8.3,5.3,34.3,2.3,0.4,17.7,24.6,3.1,3.9,7.0,0.115,1.7,0.5,2.2,3.1,569.0,1227.0,0.464,33.0,121.0,0.273,536.0,1106.0,0.485,0.477,287.0,351.0,0.818,49.0,224.0,273.0,663.0,133.0,20.0,298.0,209.0,1458.0,1989.0isiah thomas,0,PG,1.0,0.0,1.0
